module,submodule,id,question,tags,answer
框架与工程生态,LangChain,LIB-E01,LangChain 是什么？核心抽象（LLM/Prompt/Chain/Runnable/Tool/Memory/Retriever）是什么？,langchain,"LangChain 是一个用于构建基于大语言模型（LLM）应用的开源框架，旨在简化 LLM 应用的开发、组合与部署。其核心抽象包括：

- LLM：封装语言模型调用的统一接口，支持多种模型后端（如 OpenAI、Anthropic、本地模型等）；
- Prompt：结构化提示模板，支持变量注入、示例组织（Few-shot）、输出解析等功能；
- Chain：将多个组件（如 LLM、Prompt、Parser）按顺序组合执行的可复用逻辑单元；
- Runnable：LangChain v0.1 起引入的统一接口协议，所有可执行组件（LLM、Chain、Tool 等）均实现 `invoke()`/`stream()` 等方法，实现标准化调用与编排；
- Tool：定义可被 Agent 调用的外部能力，需明确 name、description 和执行逻辑，支持参数约束与异步调用；
- Memory：管理对话历史或状态信息，支持短期（如 ConversationBufferMemory）和长期（结合向量库）记忆机制；
- Retriever：从外部知识源（如文档数据库）中根据查询语义检索相关片段，常与 LLM 结合实现 RAG。

这些抽象共同支撑了链式调用、Agent 决策、RAG 等典型 LLM 应用模式。"
框架与工程生态,LangChain落地,LIB-E02,LangChain 的典型落地形态是什么？在哪些场景会“过重”或不适合？,"langchain,architecture","LangChain 的典型落地形态是作为 LLM 应用的胶水框架，用于快速编排提示、调用工具、管理记忆、连接向量数据库与外部 API，常见于 PoC 验证、内部提效工具（如文档问答、会议纪要生成）及中小规模 RAG 系统。

它在以下场景易“过重”或不适用：  
一是高并发、低延迟的生产服务（如搜索后端），其抽象层带来额外开销且不易深度优化；  
二是简单固定任务（如单次文本分类或关键词提取），直接调用模型 API 更轻量；  
三是强实时性或资源受限环境（如边缘设备、函数计算冷启动敏感场景），其依赖多、包体积大、初始化慢；  
四是需深度定制推理逻辑或细粒度控制 token 流程的场景（如复杂 Agent 决策链、流式渲染优化），其封装反而增加调试与扩展成本。"
框架与工程生态,AutoGen,LIB-E03,AutoGen 是什么？与 LangChain / LangGraph 的差异（对话式多智能体 vs 工作流图）？,"autogen,multi-agent","AutoGen 是微软推出的开源框架，专注于构建可定制、可协作的多智能体系统，核心特点是支持对话式多智能体交互——智能体通过自然语言消息自动协商、反思、调用工具并迭代解决问题。它强调角色驱动、动态对话流和低代码配置，适合需要灵活推理与协作的复杂任务场景。

LangChain 和 LangGraph 侧重于结构化工作流编排：LangChain 提供链式调用与模块化组件（如模型、提示、记忆），但默认是线性或条件分支流程；LangGraph 在其基础上引入有向图模型，显式定义节点与边，支持状态持久化和循环控制，更适合确定性、可追踪的业务流程。

关键差异在于范式层面：AutoGen 以“对话”为第一抽象，智能体自主决策交互方式；LangGraph 以“图”为第一抽象，开发者显式定义执行逻辑与状态流转。前者更适配开放-ended 协作任务，后者更适配可审计、可复现的生产级工作流。"
框架与工程生态,网关LiteLLM,LIB-E04,是否使用过大模型网关框架（LiteLLM）？它解决了哪些问题（多厂商、路由、限流、观测、成本）？,"litellm,gateway","是的，使用过LiteLLM。它主要解决了以下问题：  
一是多厂商统一接入，通过标准化API抽象屏蔽OpenAI、Anthropic、Ollama等后端模型的协议差异；  
二是智能路由，支持基于模型可用性、延迟、成本或自定义策略的动态分发；  
三是轻量级限流，提供按Key或模型维度的速率限制与并发控制；  
四是可观测性，内置请求日志、延迟统计、错误分类及OpenTelemetry兼容埋点；  
五是成本追踪，自动解析响应头或Token计数，聚合展示各模型/渠道的调用消耗。  
整体降低了多模型服务的集成复杂度与运维成本。"
框架与工程生态,手搓原因,LIB-E05,为什么“手搓 agent”，而不是直接用框架？框架的边界/约束/可控性问题有哪些？,"agent,framework","手搓 Agent 主要出于三方面考虑：一是业务场景高度定制化，通用框架难以覆盖复杂决策逻辑、私有协议或实时性要求；二是对行为可解释性、执行链路和状态流转的强可控需求，框架黑盒调度或自动重试可能掩盖问题；三是技术栈耦合与演进自主权，避免被框架生命周期、插件生态或API变更所掣肘。

框架的典型约束包括：抽象层级过高导致底层细节不可见，调试困难；执行流程固化，难以灵活干预中间状态或动态调整规划策略；扩展机制受限，如工具调用、记忆管理、反思机制往往需绕过原生设计；安全与权限控制粒度粗，难满足企业级审计要求；此外，部分框架在长程任务稳定性、错误传播抑制、多Agent协同一致性等方面存在固有短板。"
框架与工程生态,MCP概念,LIB-E06,MCP 是什么？它解决的核心痛点是什么（工具/资源/权限/协议）？,mcp,MCP（Model Context Protocol）是一种标准化协议，用于规范大模型与外部工具、资源之间的交互方式。它解决的核心痛点是**协议不统一**——当前不同模型厂商和工具平台采用私有接口、异构调用方式和非标数据格式，导致模型集成成本高、工具复用难、跨平台协作不可行。MCP 通过定义统一的请求/响应结构、工具描述规范、上下文传递机制和安全调用约定，实现模型与工具间的即插即用和互操作。
框架与工程生态,MCP vs FC,LIB-E07,MCP 和 Function Call 的区别是什么？各自适用边界、工程复杂度、治理方式如何？,"mcp,function-calling","MCP（Model Control Protocol）是面向大模型服务治理的协议标准，定义模型调用的元信息、生命周期、能力描述与反馈机制，侧重跨模型、跨厂商的标准化交互；Function Call 是 LLM 原生支持的一种结构化工具调用机制，由模型在推理过程中主动触发预设函数，属于模型内部决策行为。

适用边界：  
- Function Call 适用于确定性工具集、低延迟、强语义对齐的场景（如查天气、订机票），依赖模型理解能力和函数定义质量，不适用于动态扩展或跨系统权限治理；  
- MCP 适用于多模型协同、企业级AI服务编排、合规审计等场景，解决模型接入、路由、熔断、计费、可观测性等基础设施问题，不参与具体推理逻辑。

工程复杂度：  
- Function Call 开发轻量，但需精细设计函数签名、处理幻觉调用、兜底降级，模型侧调试成本高；  
- MCP 需构建独立控制平面，涉及协议解析、适配器开发、策略引擎、元数据管理，初期投入大，但利于规模化复用。

治理方式：  
- Function Call 治理依赖 Prompt 工程、输出校验、后置拦截，属应用层软约束；  
- MCP 提供声明式策略（如调用频次、数据脱敏、模型版本灰度），支持中心化配置、实时生效、全链路追踪，具备生产级治理能力。"
框架与工程生态,实践经验,LIB-E08,有没有 MCP / Function Call 的实践经验？如何设计工具协议、参数 schema、错误处理与重试？,"schema,retry,tooling","有MCP和Function Call的实践经验。在智能体系统中，我设计过基于OpenAI Function Calling和MCP（Model Control Protocol）规范的工具调用框架。

工具协议采用标准JSON Schema定义，每个工具明确声明name、description、parameters（含required字段与类型约束），支持嵌套对象和枚举校验；参数schema严格遵循OpenAPI 3.0子集，兼顾模型理解能力与后端可解析性。

错误处理分三层：模型层——捕获invalid_request_error等调用异常并触发fallback提示；协议层——统一返回error_code、message、retryable字段；业务层——对4xx错误做输入修正重试，5xx错误启用指数退避+Jitter重试（最多3次），关键操作记录trace_id便于溯源。

重试策略与工具语义强绑定：幂等工具（如查询类）默认自动重试；非幂等工具（如支付）必须显式确认后才重试，并透传attempt_id防止重复执行。"
框架与工程生态,A2A,LIB-E09,A2A（Agent-to-Agent）了解吗？它在系统架构上意味着什么（互操作、协商、分工、权限）？,"a2a,interop",A2A即Agent-to-Agent，指智能体之间的直接交互与协作。在系统架构上，它体现为四个核心维度：一是互操作，要求不同Agent具备标准化通信协议和数据格式，实现跨平台对接；二是协商，支持基于目标或资源的动态协商机制，如合同网协议或博弈建模；三是分工，通过任务分解与角色分配实现协同求解，强调责任边界清晰与能力匹配；四是权限，需内置细粒度访问控制与信任管理，确保交互过程中的行为合规与数据安全。整体上，A2A推动系统从中心化编排转向去中心化自治协作。
Prompt与推理范式,ReAct,PRM01,ReAct 是什么？为什么把“推理 + 行动”结合起来能提升效果？,"react,tool-use","ReAct 是一种将推理（Reasoning）与行动（Action）交替结合的提示方法，核心是让大模型在生成答案前先进行思维链式推理，再基于推理结果调用工具或检索外部信息，循环迭代直至得出准确结论。

之所以能提升效果，是因为单纯推理易受知识局限或幻觉影响，而纯行动缺乏目标导向和规划能力。二者结合后，推理负责策略制定与错误检测，行动提供实时、准确的外部信息补充，形成闭环验证，显著增强事实准确性、任务完成率和复杂问题的解决鲁棒性。"
Prompt与推理范式,ReAct实现,PRM02,ReAct 怎么实现？（思维步骤组织、工具调用触发、观察结果回写、终止条件）,"react,implementation","ReAct通过四步循环实现：  
1. 思维步骤组织：基于当前任务和历史轨迹，生成推理步骤与待验证假设，明确下一步需获取的信息；  
2. 工具调用触发：当推理判断需外部信息时，格式化生成工具调用请求（含工具名、参数），交由执行器调用；  
3. 观察结果回写：将工具返回的原始结果作为Observation，原样注入到后续上下文，不修改、不解释；  
4. 终止条件：当推理链得出明确答案、满足任务目标，或达到最大步数/重试次数时终止，输出最终响应。  
整个过程以“推理→行动→观察”闭环驱动，强调推理引导行动、行动服务于推理。"
Prompt与推理范式,CoT定义,PRM03,CoT（Chain-of-Thought）是什么？为什么通常效果更好？,"cot,reasoning",CoT即思维链，是一种让大模型在给出最终答案前，先生成中间推理步骤的方法。它通过显式建模推理过程，将复杂问题分解为多个可处理的子步骤，从而提升模型对逻辑、数学和常识类任务的解决能力。效果更好的原因主要有三点：一是缓解了模型直接映射输入到输出时的跳跃性错误；二是利用了模型已有的隐式推理能力，通过提示激发其逐步推演；三是增强了结果的可解释性和可控性，便于定位和修正错误。
Prompt与推理范式,CoT缺点,PRM04,CoT 有哪些缺点/风险？（冗长、泄露推理、过拟合 prompt、稳定性、成本）,"cot,risk",CoT存在五方面主要缺点：一是推理链冗长，增加计算开销与响应延迟；二是中间推理步骤可能暴露敏感逻辑或训练数据信息，带来隐私与安全风险；三是易对特定prompt过拟合，泛化能力弱，微小prompt改动可能导致输出大幅波动；四是推理过程缺乏稳定性，相同问题多次生成结果可能不一致；五是显著提升计算与API调用成本，尤其在长链或大规模部署场景下。
Prompt与推理范式,Prompt缓存,PRM05,Prompt Caching 是什么？缓存粒度如何设计（prompt 前缀/系统提示/检索上下文）？,"prompt-caching,latency","Prompt Caching 是指在大模型推理过程中，对重复或相似的 prompt 输入进行缓存，以复用已计算的 KV 缓存（Key-Value Cache），从而减少重复计算、降低延迟、节省显存和算力。

缓存粒度设计需兼顾复用率与灵活性，通常分层考虑：
- 系统提示（System Prompt）：最稳定，变化最少，适合长期缓存，可作为缓存基底；
- 检索上下文（Retrieved Context）：动态性强，但具有局部稳定性（如同一知识库检索结果在短时间/相似查询下重复），建议按 context fingerprint（如哈希摘要）缓存，支持增量更新；
- Prompt 前缀（用户指令+固定结构）：介于两者之间，若存在高频模板（如“请用中文总结以下内容：”），可缓存其编码结果；但需避免过度泛化导致语义偏差。

实践中常采用组合键缓存（system + context hash + prefix hash），并设置 TTL 或 LRU 策略管理生命周期。关键原则是：越稳定、越通用的部分越靠前缓存，越动态的部分越靠后拼接或单独缓存。"
Prompt与推理范式,采样参数,PRM06,Temperature / Top-p / Top-k 分别控制什么？它们之间如何联动？,"sampling,temperature,top_p,top_k","Temperature 控制输出分布的平滑程度，值越小，分布越尖锐，模型越倾向于选择高概率词，输出更确定、保守；值越大，分布越平滑，随机性增强，多样性提高。

Top-k 限制每步仅从概率最高的 k 个词中采样，过滤掉低概率候选，提升生成质量并抑制胡言乱语。

Top-p（核采样）动态选取累计概率超过 p 的最小词集进行采样，能自适应保留不同数量的候选词，兼顾质量与灵活性。

三者联动：通常先应用 Top-k 或 Top-p 进行候选集裁剪，再在该子集上按 Temperature 调整 logits 后采样。Top-k 与 Top-p 一般互斥使用，避免重复过滤；Temperature 独立作用于 logits，影响最终采样分布的置信度。实践中常组合 Top-p + Temperature，兼顾稳定性与可控多样性。"
Prompt与推理范式,参数设置,PRM07,不同场景下的推荐设置是什么？（分类、抽取、代码生成、创作、对话、工具调用）,"best-practice,sampling","不同场景下的推荐设置如下：  
分类任务：使用较低温度（0.1–0.3），关闭top_p，启用logprobs便于置信度分析，优先选择确定性输出。  
抽取任务：温度设为0.0–0.1，开启JSON Schema约束或正则引导，确保结构化输出准确；可配合few-shot示例提升字段对齐精度。  
代码生成：温度0.2–0.5，top_p 0.9–0.95，启用代码块标记与语法校验提示，必要时指定编程语言和上下文依赖。  
创作任务：温度0.7–0.9，top_p 0.9–1.0，允许适度随机性以增强多样性，辅以风格/语气/长度等指令控制生成质量。  
对话场景：温度0.6–0.8，动态调节top_p（0.85–0.95），启用历史上下文管理与角色设定，强调连贯性与人格一致性。  
工具调用：温度≤0.3，强制使用function calling格式，严格校验参数类型与必填字段，配合schema描述与错误重试机制。"
Prompt与推理范式,Prompt治理,PRM08,如何做 prompt 版本管理与 A/B 实验？如何避免回归？,"ab-test,eval,governance","Prompt版本管理与A/B实验可借鉴软件工程实践：  
1. 版本管理：为每个prompt分配唯一ID，记录内容、修改人、时间、变更说明及关联模型/参数；使用配置中心或Git仓库托管，支持diff和回滚。  
2. A/B实验：按流量或用户ID分流，确保对照组（旧prompt）与实验组（新prompt）数据独立；统一评估指标（如任务准确率、响应时长、人工评分），样本量需满足统计显著性要求。  
3. 避免回归：上线前在离线测试集上做回归验证，对比关键指标；建立自动化监控，实时追踪线上核心指标波动；设置熔断机制，异常时自动回退至稳定版本。  
核心原则：可追溯、可度量、可控制。"
RAG,RAG概念,RAG01,RAG 是什么？它与纯 LLM 生成相比解决了什么问题？,rag,"RAG（Retrieval-Augmented Generation）是一种将信息检索与大语言模型生成相结合的技术框架。它在生成回答前，先从外部知识库中检索相关文档片段，再将检索结果与用户问题一同输入LLM进行生成。

相比纯LLM生成，RAG主要解决了三个核心问题：一是缓解幻觉，通过引入可验证的外部证据提升回答准确性；二是降低知识更新成本，无需重新训练模型即可接入最新或领域专属数据；三是增强可解释性与可控性，生成依据可追溯至具体检索片段，便于审计和调试。"
RAG,难点,RAG02,RAG 最难的地方通常是什么？（召回、切分、重排、评测、数据治理、时效性）,"rag,challenges","RAG最难的地方通常是数据治理。  
它贯穿整个流程：源头数据质量参差、格式杂乱、权限与合规约束多；导致切分逻辑难统一、元数据缺失影响召回精度、更新机制不健全损害时效性；同时制约评测指标的设计合理性与重排模型的泛化能力。相比技术模块，数据治理更依赖跨团队协作、标准建设和长期运维，落地难度最大、见效最慢。"
RAG,切割策略,RAG03,文档切割（chunking）策略有哪些？（固定长度、语义段落、标题层级、滑窗、结构化解析）,chunking,"文档切割策略主要包括以下五类：  
一是固定长度切分，按字符或Token数截断，简单高效但易切断语义；  
二是语义段落切分，依据自然段、换行、标点等边界保留完整语义单元；  
三是标题层级切分，利用文档标题结构（如H1-H3）划分逻辑章节，兼顾层次与语义；  
四是滑动窗口切分，在固定长度基础上引入重叠，缓解上下文断裂问题；  
五是结构化解析切分，结合PDF/HTML等格式的DOM树、表格、列表等结构信息进行智能分块，保留原始布局与关系。  
实际应用中常组合使用，需权衡信息完整性、检索精度与计算开销。"
RAG,语义断裂规避,RAG04,如何规避“语义被切割掉”？（overlap、结构化切分、递归切分、父子块、引用回溯）,"chunking,overlap,parent-child","规避语义被切割，核心是保障文本切分时上下文完整性和逻辑连贯性。具体可采取四层策略：  
第一，设置合理overlap，对相邻块重叠10%-20%的上下文（如重叠2-3句），保留关键指代、连接词和主谓结构；  
第二，优先结构化切分，按自然语义单元（如段落、标题、列表项、代码块、对话轮次）切分，避免跨句、跨段硬截断；  
第三，采用递归切分：先按大结构（如章节）粗分，再对超长单元按语义边界（如主题句、转折词、标点密度）递归细分，始终以语义完整性为终止条件；  
第四，构建父子块关系与引用回溯机制：子块显式标注所属父块ID，对代词、省略或跨块指代，在检索或生成时自动触发父块内容回填，确保语义可还原。  
最终需结合业务场景做切分效果验证，例如通过问答一致性、摘要连贯性等指标评估语义保真度。"
RAG,多路召回,RAG05,多路召回是什么？（BM25、向量、Hybrid、Query Expansion、多索引、多字段）,"retrieval,hybrid,bm25",多路召回是指在搜索或推荐系统中，同时使用多种召回策略并行获取候选集，再通过融合策略合并结果，以提升召回的覆盖率、多样性和准确性。常见方式包括：BM25基于词频和逆文档频率进行传统关键词匹配；向量召回利用稠密向量（如BERT嵌入）计算语义相似度；Hybrid是将BM25与向量得分加权融合；Query Expansion通过同义词、点击日志或模型生成扩展查询提升召回相关性；多索引指对不同数据源或分片建立独立索引并分别召回；多字段则是在同一文档中对标题、正文、标签等不同字段分别打分后聚合。各路召回相互补充，兼顾精确匹配与语义泛化能力。
